Category,County,Countycode,Group,Plannedsales,Price,Saledate,Shipdate,Sku,Ts,Usercity,Usergender,Userincome,Usersentiment,Userstate,Zipcode
Womens Watch,Arapahoe,8005,Jewelry,393.2064209,654,2021-01-05T13:48:44,2021-01-06T13:48:44,ZD111526,2021-01-04T13:48:44,Aurora,Female,"$50,000 to $75,000",1,Colorado,80150
Cameras,Los Angeles,6037,Electronics,422.776825,638,2021-01-05T13:48:46,2021-01-06T13:48:46,ZD111317,2021-01-04T13:48:46,Los Angeles,Male,"$25,000 to $50,000",1,California,91393
Monitors,Orange,6059,Electronics,134.2656097,173,2021-01-05T13:48:56,2021-01-06T13:48:56,ZD111360,2021-01-04T13:48:56,Buena Park,Female,"$25,000 to $50,000",1,California,92842
Dvd/Vcr Players,Gila,4007,Electronics,157.4424133,207,2021-01-05T13:49:07,2021-01-06T13:49:07,ZD111340,2021-01-04T13:49:07,Hayden,Female,"$0 to $25,000",-1,Arizona,85501
Televisions,San Diego County,6073,Electronics,901.4976807,1346,2021-01-05T13:49:10,2021-01-06T13:49:10,ZD111406,2021-01-04T13:49:10,Los Angeles,Male,"$100,000 or more",-1,California,92027
Reference,Santa Clara,6085,Books,7.192800045,10,2021-01-05T13:49:11,2021-01-06T13:49:11,ZD111230,2021-01-04T13:49:11,Los Altos,Male,"$50,000 to $75,000",-1,California,95046
Portable,Pima,4019,Electronics,156.6432037,366,2021-01-05T13:49:20,2021-01-06T13:49:20,ZD111364,2021-01-04T13:49:20,Ajo,Female,"$0 to $25,000",-1,Arizona,85718
Earrings,Boulder,8013,Jewelry,1527.271362,3247,2021-01-05T13:49:33,2021-01-06T13:49:33,ZD111443,2021-01-04T13:49:33,Broomfield,Male,"$25,000 to $50,000",-1,Colorado,80028
Pants,Missoula,30063,Men,48.75120544,69,2021-01-05T13:49:44,2021-01-06T13:49:44,ZD111543,2021-01-04T13:49:44,Missoula,Male,"$0 to $25,000",1,Montana,59847
Portable,Los Angeles,6037,Electronics,83.916008,121,2021-01-05T13:49:48,2021-01-06T13:49:48,ZD111374,2021-01-04T13:49:48,Los Angeles,Female,"$25,000 to $50,000",1,California,91106
Mystery,San Diego County,6073,Books,4.795200348,7,2021-01-05T13:49:49,2021-01-06T13:49:49,ZD111199,2021-01-04T13:49:49,Los Angeles,Female,"$0 to $25,000",0,California,92030
Entertainments,Contra Costa County,6013,Books,4.795200348,8,2021-01-05T13:49:50,2021-01-06T13:49:50,ZD111165,2021-01-04T13:49:50,Discovery Bay,Male,"$25,000 to $50,000",1,California,94547
Fragrances,Los Angeles,6037,Women,54.34560394,82,2021-01-05T13:49:58,2021-01-06T13:49:58,ZD111586,2021-01-04T13:49:58,Los Angeles,Female,"$75,000 to $100,000",0,California,91387
Science,Riverside,6065,Books,12.78720093,25,2021-01-05T13:50:03,2021-01-06T13:50:03,ZD111244,2021-01-04T13:50:03,Corona,Male,"$50,000 to $75,000",0,California,92506
Sports,Riverside,6065,Books,8.791200638,16,2021-01-05T13:50:16,2021-01-06T13:50:16,ZD111268,2021-01-04T13:50:16,Corona,Male,"$25,000 to $50,000",0,California,92539
Arts,Maricopa,4013,Books,7.192800045,11,2021-01-05T13:50:21,2021-01-06T13:50:21,ZD111120,2021-01-04T13:50:21,Phoenix,Female,"$0 to $25,000",-1,Arizona,85264
Science,Los Angeles,6037,Books,15.98400021,22,2021-01-05T13:50:27,2021-01-06T13:50:27,ZD111248,2021-01-04T13:50:27,Los Angeles,Female,"$0 to $25,000",1,California,90249
Diamonds,Pima,4019,Jewelry,844.7544556,2027,2021-01-05T13:50:28,2021-01-06T13:50:28,ZD111438,2021-01-04T13:50:28,Ajo,Female,"$25,000 to $50,000",0,Arizona,85757
Sports-Apparel,Shasta,6089,Men,42.35760117,66,2021-01-05T13:50:34,2021-01-06T13:50:34,ZD111566,2021-01-04T13:50:34,Redding,Female,"$50,000 to $75,000",1,California,96017
Shirts,Maricopa,4013,Men,67.93200684,100,2021-01-05T13:50:44,2021-01-06T13:50:44,ZD111558,2021-01-04T13:50:44,Phoenix,Male,"$0 to $25,000",0,Arizona,85005
Scanners,Maricopa,4013,Electronics,137.4624023,201,2021-01-05T13:50:45,2021-01-06T13:50:45,ZD111382,2021-01-04T13:50:45,Phoenix,Male,"$75,000 to $100,000",0,Arizona,85226
Accessories,Sutter County,6101,Men,69.53040314,106,2021-01-05T13:50:56,2021-01-06T13:50:56,ZD111534,2021-01-04T13:50:56,Nicolaus,Male,"$0 to $25,000",0,California,95659
Maternity,Mohave,4015,Women,51.94800186,79,2021-01-05T13:50:58,2021-01-06T13:50:58,ZD111603,2021-01-04T13:50:58,Wikieup,Female,"$25,000 to $50,000",1,Arizona,86439
Bracelets,Los Angeles,6037,Jewelry,1129.269653,1484,2021-01-05T13:50:59,2021-01-06T13:50:59,ZD111428,2021-01-04T13:50:59,Los Angeles,Male,"$0 to $25,000",1,California,90715
Diamonds,Alameda,6001,Jewelry,983.8152466,1600,2021-01-05T13:51:02,2021-01-06T13:51:02,ZD111434,2021-01-04T13:51:02,Alameda,Female,"$75,000 to $100,000",-1,California,94625
Diamonds,Fresno County,6019,Jewelry,1448.949707,2300,2021-01-05T13:51:06,2021-01-06T13:51:06,ZD111436,2021-01-04T13:51:06,Brea,Female,"$50,000 to $75,000",0,California,93784
Womens Watch,Kern,6029,Jewelry,393.2064209,678,2021-01-05T13:51:09,2021-01-06T13:51:09,ZD111526,2021-01-04T13:51:09,Arvin,Female,"$25,000 to $50,000",1,California,93382
Wireless,San Diego County,6073,Electronics,579.4200439,776,2021-01-05T13:51:18,2021-01-06T13:51:18,ZD111408,2021-01-04T13:51:18,Los Angeles,Male,"$100,000 or more",-1,California,92082
Bracelets,Riverside,6065,Jewelry,1362.636108,2647,2021-01-05T13:51:19,2021-01-06T13:51:19,ZD111429,2021-01-04T13:51:19,Corona,Male,"$75,000 to $100,000",1,California,92255
Sports-Apparel,Orange,6059,Men,79.12080383,129,2021-01-05T13:51:23,2021-01-06T13:51:23,ZD111572,2021-01-04T13:51:23,Buena Park,Male,"$50,000 to $75,000",-1,California,92621
Romance,San Luis Obispo,6079,Books,15.1848011,26,2021-01-05T13:51:26,2021-01-06T13:51:26,ZD111241,2021-01-04T13:51:26,San Luis Obispo,Male,"$0 to $25,000",1,California,93420
Gold,Pima,4019,Jewelry,427.571991,841,2021-01-05T13:51:28,2021-01-06T13:51:28,ZD111453,2021-01-04T13:51:28,Ajo,Female,"$0 to $25,000",-1,Arizona,85713
Swimwear,Los Angeles,6037,Women,65.53440094,84,2021-01-05T13:51:33,2021-01-06T13:51:33,ZD111616,2021-01-04T13:51:33,Los Angeles,Female,"$100,000 or more",-1,California,91331
Pendants,Clark,32003,Jewelry,784.8144531,1147,2021-01-05T13:51:42,2021-01-06T13:51:42,ZD111498,2021-01-04T13:51:42,The Lakes,Female,"$25,000 to $50,000",0,Nevada,89126
Accessories,Arapahoe,8005,Men,63.13680267,102,2021-01-05T13:51:45,2021-01-06T13:51:45,ZD111539,2021-01-04T13:51:45,Aurora,Female,"$0 to $25,000",0,Colorado,80105
Monitors,Clark,32003,Electronics,121.4784088,197,2021-01-05T13:51:51,2021-01-06T13:51:51,ZD111355,2021-01-04T13:51:51,The Lakes,Male,"$0 to $25,000",1,Nevada,89005
Fiction,Solano,6095,Books,15.1848011,21,2021-01-05T13:51:58,2021-01-06T13:51:58,ZD111168,2021-01-04T13:51:58,Benicia,Male,"$25,000 to $50,000",0,California,94534
Jewelry Boxes,Clark,32003,Jewelry,148.6512146,229,2021-01-05T13:52:04,2021-01-06T13:52:04,ZD111466,2021-01-04T13:52:04,The Lakes,Male,"$0 to $25,000",-1,Nevada,89180
Audio,Los Angeles,6037,Electronics,631.368042,910,2021-01-05T13:52:05,2021-01-06T13:52:05,ZD111290,2021-01-04T13:52:05,Los Angeles,Male,"$75,000 to $100,000",-1,California,91616
Audio,San Joaquin,6077,Electronics,770.428833,1066,2021-01-05T13:52:08,2021-01-06T13:52:08,ZD111297,2021-01-04T13:52:08,Stockton,Female,"$25,000 to $50,000",0,California,95205
Stereo,Lake,8065,Electronics,99.90000153,142,2021-01-05T13:52:19,2021-01-06T13:52:19,ZD111391,2021-01-04T13:52:19,Climax,Female,"$25,000 to $50,000",-1,Colorado,81251
Self-Help,Multnomah,41051,Books,15.98400021,26,2021-01-05T13:52:22,2021-01-06T13:52:22,ZD111256,2021-01-04T13:52:22,Bridal Veil,Male,"$100,000 or more",0,Oregon,97204
Cameras,Cascade,30013,Electronics,579.4200439,821,2021-01-05T13:52:27,2021-01-06T13:52:27,ZD111309,2021-01-04T13:52:27,Great Falls,Female,"$25,000 to $50,000",-1,Montana,59404
Camcorders,San Bernardino,6071,Electronics,760.8384399,1203,2021-01-05T13:52:32,2021-01-06T13:52:32,ZD111300,2021-01-04T13:52:32,Alta Loma,Female,"$0 to $25,000",0,California,92268
Loose Stones,Maricopa,4013,Jewelry,479.5200195,743,2021-01-05T13:52:43,2021-01-06T13:52:43,ZD111480,2021-01-04T13:52:43,Phoenix,Male,"$50,000 to $75,000",0,Arizona,85285
Monitors,Los Angeles,6037,Electronics,134.2656097,187,2021-01-05T13:52:48,2021-01-06T13:52:48,ZD111360,2021-01-04T13:52:48,Los Angeles,Female,"$0 to $25,000",1,California,91494
Jewelry Boxes,Yavapai,4025,Jewelry,75.12480164,145,2021-01-05T13:52:58,2021-01-06T13:52:58,ZD111472,2021-01-04T13:52:58,Black Canyon City,Female,"$50,000 to $75,000",1,Arizona,86323
Cooking,Monterey,6053,Books,3.996000051,5,2021-01-05T13:53:01,2021-01-06T13:53:01,ZD111145,2021-01-04T13:53:01,Bradley,Female,"$0 to $25,000",1,California,93921
Accessories,San Bernardino,6071,Men,54.34560394,87,2021-01-05T13:53:10,2021-01-06T13:53:10,ZD111532,2021-01-04T13:53:10,Alta Loma,Male,"$50,000 to $75,000",-1,California,92316
Fiction,Los Angeles,6037,Books,4.795200348,7,2021-01-05T13:53:13,2021-01-06T13:53:13,ZD111173,2021-01-04T13:53:13,Los Angeles,Female,"$50,000 to $75,000",1,California,91406
Swimwear,Alameda,6001,Women,59.94000244,77,2021-01-05T13:53:15,2021-01-06T13:53:15,ZD111610,2021-01-04T13:53:15,Alameda,Male,"$25,000 to $50,000",-1,California,94610
Cooking,Los Angeles,6037,Books,15.98400021,24,2021-01-05T13:53:25,2021-01-06T13:53:25,ZD111148,2021-01-04T13:53:25,Los Angeles,Female,"$50,000 to $75,000",-1,California,91329
Accessories,Anchorage Municipality,2020,Men,43.95600128,95,2021-01-05T13:53:34,2021-01-06T13:53:34,ZD111536,2021-01-04T13:53:34,Anchorage,Male,"$25,000 to $50,000",-1,Alaska,99505
Mystery,Pima,4019,Books,4.795200348,10,2021-01-05T13:53:41,2021-01-06T13:53:41,ZD111208,2021-01-04T13:53:41,Ajo,Male,"$75,000 to $100,000",-1,Arizona,85730
Business,San Bernardino,6071,Books,7.992000103,12,2021-01-05T13:53:44,2021-01-06T13:53:44,ZD111129,2021-01-04T13:53:44,Alta Loma,Male,"$25,000 to $50,000",0,California,92409
Gold,Sacramento,6067,Jewelry,665.7336426,1051,2021-01-05T13:53:45,2021-01-06T13:53:45,ZD111459,2021-01-04T13:53:45,Sacramento,Male,"$0 to $25,000",0,California,95820
Wireless,Cascade,30013,Electronics,482.7168274,663,2021-01-05T13:53:52,2021-01-06T13:53:52,ZD111412,2021-01-04T13:53:52,Great Falls,Female,"$25,000 to $50,000",-1,Montana,59412
Pendants,Washoe,32031,Jewelry,1034.964111,1390,2021-01-05T13:53:56,2021-01-06T13:53:56,ZD111504,2021-01-04T13:53:56,Crystal Bay,Male,"$50,000 to $75,000",-1,Nevada,89513
Disk Drives,San Bernardino,6071,Electronics,141.4584045,242,2021-01-05T13:54:02,2021-01-06T13:54:02,ZD111320,2021-01-04T13:54:02,Alta Loma,Female,"$50,000 to $75,000",0,California,92374
Travel,Riverside,6065,Books,9.590400696,16,2021-01-05T13:54:03,2021-01-06T13:54:03,ZD111285,2021-01-04T13:54:03,Corona,Female,"$25,000 to $50,000",0,California,92519
Camcorders,Jefferson,30043,Electronics,665.7336426,911,2021-01-05T13:54:05,2021-01-06T13:54:05,ZD111302,2021-01-04T13:54:05,Basin,Female,"$50,000 to $75,000",1,Montana,59631
Pendants,Salt Lake,49035,Jewelry,1420.977661,1860,2021-01-05T13:54:09,2021-01-06T13:54:09,ZD111497,2021-01-04T13:54:09,Bingham Canyon,Male,"$0 to $25,000",-1,Utah,84142
